OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County,State,PUIsTotal*,PUIAge_0_4*,PUIAge_5_14*,PUIAge_15_24*,PUIAge_25_34*,PUIAge_35_44*,PUIAge_45_54*,PUIAge_55_64*,PUIAge_65_74*,PUIAge_75_84*,PUIAge_85plus*,PUIAge_Unkn*,PUIAgeRange*,PUIAgeMedian*,PUIFemale*,PUIMale*,PUISexUnkn*,PUIFLRes*,PUINotFLRes*,PUIFLResOut*,PUIContNo*,PUIContUnkn*,PUIAgeAvrg*,PUITravelNo*,PUITravelYes*,PUI_TPositive*,PUI_TNegative*,PUI_TInconc*,PUI_TPending*,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,PUI_EverMon*,PUI_MonNow*,Shape__Area,Shape__Length,GlobalID,New Cases,New Negative cases,New Total Tested Today,New Percent Positivity,Median Age
1,1,21,041,GILCHRIST,Gilchrist,FL,1240,33,61,153,169,160,174,170,135,106,79,0,0 to 118,48,711,523,6,1240,0,0,79,763,2,530,17,464,775,0,1,1239,426,38,0,0,248,215,1,464,10,25,68,78,55,61,57,33,35,42,0,0 to 106,43,385,30,21,28,71,361,32,66,0,32,0,0,10,464,215,248,464,0,0,3704,0,4176,3704,464,10,613,596,920490830.042053,148547.348006441,cb6285a2-da2e-4583-aad5-1221776836ae,4,19,23,0.173913043478261,43
2,2,54,107,PUTNAM,Putnam,FL,4928,116,282,584,719,661,721,774,524,345,181,21,0 to 118,46,2920,1965,43,4918,10,0,725,3377,133,1662,29,1780,3144,0,4,4914,1080,698,1,1,931,836,11,1778,43,173,303,266,279,234,221,131,80,40,10,0 to 100,38,953,508,218,99,377,1257,144,333,1,196,0,0,37,1780,837,932,1778,2,0,13032,8,14833,13040,1780,37,407,339,2142439482.67719,232574.925675008,ce511c5d-2638-44a3-b2f8-b13847543637,5,88,93,0.0537634408602151,38
3,3,62,123,TAYLOR,Taylor,FL,2275,47,73,235,457,439,354,310,220,98,38,4,0 to 118,42,895,1358,22,2266,9,0,64,1514,3,955,29,1200,1069,0,6,2260,1140,57,3,0,291,906,0,1197,4,20,122,305,293,214,131,72,27,12,0,1 to 92,39,597,510,71,19,124,1015,58,89,0,36,0,0,5,1200,906,294,1197,3,0,4591,6,5826,4597,1200,5,992,894,2685252568.13834,267348.178950349,541bd5a3-4453-499a-9896-f0edc5353d0b,1,19,20,0.05,39
4,4,46,091,OKALOOSA,Okaloosa,FL,11107,250,356,1259,1802,1627,1504,1547,1150,884,682,46,0 to 119,46,6458,4548,101,10946,160,1,610,7309,137,2019,149,4154,6905,1,47,10899,3917,209,23,5,2243,1840,43,4126,48,147,687,810,643,573,514,346,215,165,6,0 to 103,40,2293,393,746,694,559,2715,852,405,4,242,2,0,77,4154,1851,2260,4125,28,1,28226,132,32559,28358,4154,77,3543,3117,2369222670.29688,330553.160278386,eb5d2450-a892-40fd-9ba4-9821a7438525,17,92,109,0.155963302752294,40
5,5,7,013,CALHOUN,Calhoun,FL,1189,17,59,118,175,194,168,173,138,98,49,0,0 to 99,46,601,573,15,1188,1,0,39,549,4,506,13,570,618,0,1,1187,553,16,1,0,242,326,1,569,4,18,60,108,101,81,73,56,41,28,0,1 to 99,44,371,89,39,70,24,462,83,58,1,32,1,0,8,570,327,242,569,1,0,3989,0,4569,3989,570,8,766,705,1487626835.10838,192207.890331272,3b55aa95-5170-4caf-82a3-e99ad7459349,2,7,9,0.222222222222222,44
6,6,50,099,PALM BEACH,Palm Beach,FL,104235,1734,3083,10265,14665,13911,15196,16419,13246,8975,5000,1741,0 to 119,50,56372,47461,402,103231,1002,2,8853,79940,465,29087,807,41965,61825,161,284,102791,40959,642,357,7,21476,19943,182,41601,692,1627,6154,7779,6828,6498,5437,3100,2063,1643,144,0 to 106,41,15520,6729,7586,11766,11382,16653,13566,4584,54,3303,36,17,1119,41965,20138,21635,41599,364,2,280080,644,323337,280724,41965,1119,10852,10587,5710098601.29486,464192.459734082,cc4a8da3-38f1-429a-a0cb-00ffdaa43da7,106,2932,3038,0.0348913759052008,41
7,7,56,111,ST. LUCIE,St. Lucie,FL,17502,333,570,1640,2399,2412,2712,2784,2278,1436,840,98,0 to 119,49,10063,7190,249,17346,156,0,1556,11815,188,5063,190,6992,10234,5,271,17070,6823,143,25,1,3814,3086,66,6966,128,297,912,1168,1130,1104,933,621,375,261,63,0 to 104,43,2475,1594,1058,1839,1560,3064,2342,652,2,462,2,1,235,6992,3101,3825,6966,26,0,44180,131,51363,44311,6992,235,4781,4766,1499679486.67142,252832.323289834,399b37a3-aa4a-40d4-aa83-5a2ba14bd0c4,31,942,973,0.0318602261048304,43
8,8,51,101,PASCO,Pasco,FL,22038,434,673,2293,3025,3155,3523,3523,2878,1719,766,49,0 to 119,49,12421,9541,76,21922,116,0,1902,14869,223,7492,330,8048,13845,3,142,21777,7847,150,49,2,4172,3813,12,7997,122,271,1213,1388,1281,1287,1063,737,431,233,22,0 to 105,42,5679,605,1277,436,1980,5453,564,1054,10,733,4,1,180,8048,3837,4199,7997,51,0,70068,70,78243,70138,8048,180,5482,4931,1975344274.45807,225211.500752162,83116673-3fad-423e-b67e-dfe7515f5e81,19,619,638,0.0297805642633229,42
9,9,20,039,GADSDEN,Gadsden,FL,4976,112,254,532,824,870,843,714,510,195,103,19,0 to 119,43,2969,1982,25,4954,21,1,419,3211,46,1540,31,2324,2646,1,5,4949,2265,51,8,0,1141,1157,18,2316,52,144,326,394,441,400,291,158,69,32,17,0 to 105,39,684,904,392,336,438,1380,498,332,0,175,0,0,31,2324,1158,1148,2315,8,1,12514,16,14895,12530,2324,31,997,803,1367889846.39806,205127.330650714,77657ea6-12d6-4645-9915-e7357c9f40d6,7,59,66,0.106060606060606,39
10,10,37,073,LEON,Leon,FL,19002,345,619,3514,3214,2693,2640,2716,2001,790,420,50,0 to 119,41,9960,8921,121,18650,351,1,1498,14642,201,4167,187,6321,12655,4,22,18626,6112,60,145,4,3289,2863,20,6172,114,268,2063,1187,806,693,628,311,136,97,18,0 to 105,29,1895,2015,777,1485,441,3375,2356,475,16,181,10,7,33,6321,2937,3364,6171,149,1,66193,209,72850,66402,6321,33,2663,2249,1817477697.41779,246081.909627491,ff3d6d6c-1645-4c7e-bc93-049a674c4499,30,339,369,0.0813008130081301,29
