County,State,PUIsTotal,PUIAge_0_4,PUIAge_5_14,PUIAge_15_24,PUIAge_25_34,PUIAge_35_44,PUIAge_45_54,PUIAge_55_64,PUIAge_65_74,PUIAge_75_84,PUIAge_85plus,PUIAge_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,PUI_TPositive,PUI_TNegative,PUI_TInconc,PUI_TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,Date,Region
'Gilchrist','FL','1065','28','33','129','138','138','149','159','119','98','74','0','0 to 118','49','612','446','7','1065','0','0','44','739','2','363','10','329','731','0','5','1060','301','28','0','0','173','156','0','329','9','12','51','46','36','41','47','21','29','37','0','0 to 106','47','258','19','24','28','47','234','48','22','0','19','0','0','3','329','156','173','329','0','0','3080','0','3415','3080','329','3','08/01/2020','Rest of Florida'
'Putnam','FL','4440','96','212','511','667','574','670','702','487','333','176','12','0 to 118','47','2659','1725','56','4432','8','0','284','3753','133','962','22','1317','3121','0','2','4430','784','533','0','0','677','618','22','1317','27','119','238','215','191','180','155','91','66','34','1','0 to 100','37','605','351','170','191','249','831','237','244','0','147','0','0','16','1317','618','677','1317','0','0','10367','8','11699','10375','1317','16','08/01/2020','Rest of Florida'
'Taylor','FL','1338','40','49','148','219','192','190','210','170','87','29','4','0 to 118','45','735','580','23','1329','9','0','54','871','3','586','29','360','975','0','3','1326','315','42','3','0','179','178','0','357','1','13','54','81','65','57','44','24','16','5','0','4 to 91','40','181','127','29','20','37','289','31','57','0','19','0','0','3','360','178','182','357','3','0','2623','6','2992','2629','360','3','08/01/2020','Rest of Florida'
'Okaloosa','FL','9640','228','270','1057','1567','1421','1276','1338','1008','810','620','45','0 to 119','46','5631','3899','110','9480','159','1','445','7410','137','1308','120','2850','6746','0','44','9437','2678','144','23','5','1501','1274','47','2822','34','98','516','593','458','391','322','222','126','85','5','0 to 103','38','1381','253','430','758','387','1512','923','232','3','135','1','0','30','2850','1285','1518','2821','28','1','23310','132','26330','23442','2850','30','08/01/2020','Rest of Florida'
'Calhoun','FL','827','13','23','83','95','122','115','137','112','84','43','0','0 to 99','52','485','327','15','827','0','0','29','470','4','255','12','287','539','0','1','826','271','16','0','0','171','116','0','287','2','8','33','37','33','38','42','36','33','25','0','1 to 99','53','229','21','19','18','15','246','26','40','0','26','0','0','7','287','116','171','287','0','0','1921','0','2212','1921','287','7','08/01/2020','Rest of Florida'
'Palm Beach','FL','95118','1541','2622','8964','13223','12509','13756','15157','12515','8519','4683','1629','0 to 119','50','51504','43260','354','94176','940','2','6751','76406','465','21841','602','33854','60856','168','240','93773','33267','284','297','6','17206','16218','127','33551','565','1248','4963','6424','5572','5208','4328','2512','1674','1328','32','0 to 106','41','12392','5242','5523','10394','9289','12494','11768','3539','42','2585','27','15','833','33854','16373','17350','33549','303','2','225706','651','260787','226357','33854','833','08/01/2020','South Florida'
'St. Lucie','FL','15275','275','438','1344','2051','2075','2377','2478','2085','1335','777','40','0 to 119','51','8811','6195','269','15124','151','0','1080','11424','188','3559','124','5106','9906','5','258','14861','4973','113','20','0','2755','2275','56','5086','98','214','690','872','831','817','672','452','264','190','6','0 to 104','43','1609','1043','668','1766','1009','1870','2207','441','2','321','2','1','125','5106','2285','2765','5086','20','0','34504','133','39795','34637','5106','125','08/01/2020','Rest of Florida'
'Pasco','FL','19969','381','556','1986','2725','2849','3171','3243','2695','1616','712','35','0 to 119','49','11296','8595','78','19872','97','0','1271','15241','223','4855','221','6394','13499','2','74','19796','6231','131','31','1','3296','3039','27','6362','102','198','977','1144','1027','1011','828','585','332','182','8','0 to 105','42','3876','428','866','1192','1219','3462','1681','740','9','474','4','1','96','6394','3056','3311','6362','32','0','56039','68','62546','56107','6394','96','08/01/2020','Rest of Florida'
'Gadsden','FL','4071','93','198','406','676','693','683','596','451','179','93','3','0 to 119','44','2627','1425','19','4050','20','1','178','3224','46','867','26','1437','2628','1','5','4045','1377','53','7','0','811','609','10','1430','39','99','205','251','266','237','170','96','51','22','1','0 to 98','39','344','494','174','418','246','638','546','214','0','111','0','0','19','1437','609','818','1429','7','1','9899','16','11384','9915','1437','19','08/01/2020','Rest of Florida'
'Leon','FL','16857','263','499','2885','2878','2403','2403','2502','1882','731','367','44','0 to 119','42','8778','7938','141','16575','281','1','849','14016','201','2726','150','4294','12522','1','40','16535','4165','49','76','4','2215','1973','26','4214','53','178','1491','852','546','466','420','184','63','29','12','0 to 105','28','1227','1291','365','1331','301','2014','1899','293','14','115','11','7','14','4294','2017','2251','4213','80','1','49833','214','54450','50047','4294','14','08/01/2020','Rest of Florida'
'Jefferson','FL','910','19','19','60','109','134','148','173','152','74','21','1','0 to 101','52','432','474','4','902','8','0','27','702','41','231','16','337','573','0','0','902','283','49','5','0','91','241','0','332','4','4','31','62','58','67','57','35','11','8','0','0 to 95','47','97','103','15','117','15','186','131','32','2','23','0','0','5','337','245','92','332','5','0','2183','4','2534','2187','337','5','08/01/2020','Rest of Florida'
'Madison','FL','1699','83','99','196','210','229','246','233','219','120','58','6','0 to 99','46','1052','643','4','1669','30','0','88','1016','53','764','48','618','1079','0','2','1667','381','226','10','1','361','246','0','607','31','48','89','86','92','106','80','49','17','20','0','0 to 98','40','157','404','29','17','35','518','54','107','0','27','0','1','7','618','249','369','607','11','0','4166','19','4812','4185','618','7','08/01/2020','Rest of Florida'
'Liberty','FL','2385','6','15','209','712','579','425','290','102','32','7','8','0 to 105','38','257','2122','6','2385','0','0','9','2016','1','198','6','399','1986','0','0','2385','395','4','0','0','59','340','0','399','2','5','57','99','79','84','58','12','2','1','0','0 to 85','39','234','135','12','18','16','242','141','15','0','6','0','0','2','399','340','59','399','0','0','2620','0','3019','2620','399','2','08/01/2020','Rest of Florida'
'Hamilton','FL','2249','33','54','215','581','443','352','261','184','78','45','3','0 to 118','40','599','1632','18','2241','8','0','65','1906','9','564','12','574','1674','0','1','2240','502','67','4','1','211','358','0','569','22','37','86','132','94','90','67','30','12','4','0','0 to 90','36','245','278','38','8','90','325','154','81','1','21','0','0','3','574','361','213','569','5','0','3299','3','3879','3302','574','3','08/01/2020','Rest of Florida'
'Bay','FL','6637','83','102','744','1090','1048','1113','1063','714','402','223','55','0 to 119','47','3467','3109','61','6556','81','0','658','4976','28','2301','128','3620','3002','0','15','6541','3422','136','60','2','1735','1809','14','3558','47','71','558','741','649','613','470','289','132','48','2','0 to 104','40','2075','387','205','891','321','2157','1080','362','13','140','5','4','21','3620','1844','1761','3558','62','0','19282','37','22971','19319','3620','21','08/01/2020','Rest of Florida'
'Columbia','FL','5659','123','159','449','842','898','856','998','737','367','220','10','0 to 119','49','2456','3127','76','5635','24','0','532','3186','63','2387','23','2550','3105','0','4','5631','2321','218','9','2','648','1884','7','2539','46','68','240','493','514','447','377','223','104','37','1','0 to 102','43','889','412','99','1139','106','1072','1361','26','1','101','0','0','10','2550','1891','652','2539','11','0','10057','13','12673','10070','2550','10','08/01/2020','Rest of Florida'
'Baker','FL','1292','40','35','167','198','205','204','200','125','82','34','2','0 to 99','45','719','551','22','1232','60','0','132','887','16','407','9','371','901','0','20','1212','282','88','0','1','181','188','1','370','4','14','59','59','74','58','54','23','20','6','0','1 to 97','40','237','66','38','29','13','314','43','50','0','26','0','0','4','371','188','182','370','1','0','3818','59','4249','3877','371','4','08/01/2020','Rest of Florida'
